school_year,antigen,age,public_health_unit,coverage,year_of_birth
2013-2014,Pertussis,17,Niagara Region Public Health,74.1,1996
2013-2014,Pertussis,7,North Bay Parry Sound District Health Unit,96.0,2006
2013-2014,Pertussis,17,North Bay Parry Sound District Health Unit,77.8,1996
2013-2014,Pertussis,7,Northwestern Health Unit,95.7,2006
2013-2014,Pertussis,17,Northwestern Health Unit,85.2,1996
2013-2014,Pertussis,7,Ontario,84.8,2006
2013-2014,Pertussis,17,Ontario,60.4,1996
2013-2014,Pertussis,7,Ottawa Public Health,81.2,2006
2013-2014,Pertussis,17,Ottawa Public Health,57.0,1996
2013-2014,Pertussis,7,Peel Public Health,87.2,2006
2013-2014,Pertussis,17,Peel Public Health,42.6,1996
2013-2014,Pertussis,7,Peterborough Public Health,80.2,2006
2013-2014,Pertussis,17,Peterborough Public Health,63.6,1996
2013-2014,Pertussis,7,Porcupine Health Unit,92.2,2006
2013-2014,Pertussis,17,Porcupine Health Unit,85.3,1996
2013-2014,Pertussis,7,Public Health Sudbury & Districts,85.0,2006
2013-2014,Pertussis,17,Public Health Sudbury & Districts,74.4,1996
2013-2014,Pertussis,7,Region of Waterloo Public Health and Paramedic Services,93.8,2006
2013-2014,Pertussis,17,Region of Waterloo Public Health and Paramedic Services,70.9,1996
2013-2014,Pertussis,7,Renfrew County and District Health Unit,94.8,2006
2013-2014,Pertussis,17,Renfrew County and District Health Unit,77.3,1996
2013-2014,Pertussis,7,Simcoe Muskoka District Health Unit,86.1,2006
2013-2014,Pertussis,17,Simcoe Muskoka District Health Unit,69.0,1996
2013-2014,Pertussis,7,Southwestern Public Health,84.9,2006
2013-2014,Pertussis,17,Southwestern Public Health,85.5,1996
2013-2014,Pertussis,7,Thunder Bay District Health Unit,92.4,2006
2013-2014,Pertussis,17,Thunder Bay District Health Unit,85.7,1996
2013-2014,Pertussis,7,Timiskaming Health Unit,96.2,2006
2013-2014,Pertussis,17,Timiskaming Health Unit,89.4,1996
2013-2014,Pertussis,7,Toronto Public Health,85.1,2006
2013-2014,Pertussis,17,Toronto Public Health,47.5,1996
2013-2014,Pertussis,7,Wellington-Dufferin-Guelph Public Health,69.7,2006
2013-2014,Pertussis,17,Wellington-Dufferin-Guelph Public Health,70.4,1996
2013-2014,Pertussis,7,Windsor-Essex County Health Unit,76.0,2006
2013-2014,Pertussis,17,Windsor-Essex County Health Unit,42.3,1996
2013-2014,Pertussis,7,York Region Public Health,90.9,2006
2013-2014,Pertussis,17,York Region Public Health,71.2,1996
2013-2014,Pneumo,7,Algoma Public Health,87.2,2006
2013-2014,Pneumo,7,Brant County Health Unit,84.0,2006
2013-2014,Pneumo,7,Chatham-Kent Public Health,79.1,2006
2013-2014,Pneumo,7,City of Hamilton Public Health Services,78.2,2006
2013-2014,Pneumo,7,Durham Region Health Department,80.0,2006
2013-2014,Pneumo,7,Eastern Ontario Health Unit,84.6,2006
2013-2014,Pneumo,7,Grey Bruce Public Health,84.9,2006
2013-2014,Pneumo,7,Haldimand-Norfolk Health Unit,72.5,2006
2013-2014,Pneumo,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",83.1,2006
2013-2014,Pneumo,7,Halton Region Public Health,74.5,2006
2013-2014,Pneumo,7,Hastings Prince Edward Public Health,78.8,2006
2013-2014,Pneumo,7,Huron Perth Public Health,84.4,2006
2013-2014,Pneumo,7,"Kingston, Frontenac and Lennox & Addington Public Health",82.1,2006
2013-2014,Pneumo,7,Lambton Public Health,68.9,2006
2013-2014,Pneumo,7,"Leeds, Grenville & Lanark District Health Unit",79.6,2006
2013-2014,Pneumo,7,Middlesex-London Health Unit,69.7,2006
2013-2014,Pneumo,7,Niagara Region Public Health,84.4,2006
2013-2014,Pneumo,7,North Bay Parry Sound District Health Unit,83.5,2006
2013-2014,Pneumo,7,Northwestern Health Unit,84.5,2006
2013-2014,Pneumo,7,Ontario,76.6,2006
2013-2014,Pneumo,7,Ottawa Public Health,79.6,2006
2013-2014,Pneumo,7,Peel Public Health,71.1,2006
2013-2014,Pneumo,7,Peterborough Public Health,75.3,2006
2013-2014,Pneumo,7,Porcupine Health Unit,84.9,2006
2013-2014,Pneumo,7,Public Health Sudbury & Districts,78.5,2006
2013-2014,Pneumo,7,Region of Waterloo Public Health and Paramedic Services,78.7,2006
2013-2014,Pneumo,7,Renfrew County and District Health Unit,82.1,2006
2013-2014,Pneumo,7,Simcoe Muskoka District Health Unit,80.3,2006
2013-2014,Pneumo,7,Southwestern Public Health,79.4,2006
2013-2014,Pneumo,7,Thunder Bay District Health Unit,74.6,2006
2013-2014,Pneumo,7,Timiskaming Health Unit,88.5,2006
2013-2014,Pneumo,7,Toronto Public Health,69.6,2006
2013-2014,Pneumo,7,Wellington-Dufferin-Guelph Public Health,81.8,2006
2013-2014,Pneumo,7,Windsor-Essex County Health Unit,80.1,2006
2013-2014,Pneumo,7,York Region Public Health,80.4,2006
2013-2014,Polio,7,Algoma Public Health,89.2,2006
2013-2014,Polio,17,Algoma Public Health,98.0,1996
2013-2014,Polio,7,Brant County Health Unit,90.2,2006
2013-2014,Polio,17,Brant County Health Unit,96.7,1996
2013-2014,Polio,7,Chatham-Kent Public Health,90.7,2006
2013-2014,Polio,17,Chatham-Kent Public Health,97.0,1996
2013-2014,Polio,7,City of Hamilton Public Health Services,80.2,2006
2013-2014,Polio,17,City of Hamilton Public Health Services,96.3,1996
2013-2014,Polio,7,Durham Region Health Department,95.5,2006
2013-2014,Polio,17,Durham Region Health Department,96.9,1996
2013-2014,Polio,7,Eastern Ontario Health Unit,88.8,2006
2013-2014,Polio,17,Eastern Ontario Health Unit,94.6,1996
2013-2014,Polio,7,Grey Bruce Public Health,89.1,2006
2013-2014,Polio,17,Grey Bruce Public Health,96.7,1996
2013-2014,Polio,7,Haldimand-Norfolk Health Unit,55.7,2006
2013-2014,Polio,17,Haldimand-Norfolk Health Unit,87.6,1996
2013-2014,Polio,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",61.7,2006
2013-2014,Polio,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",97.8,1996
2013-2014,Polio,7,Halton Region Public Health,66.8,2006
2013-2014,Polio,17,Halton Region Public Health,94.2,1996
2013-2014,Polio,7,Hastings Prince Edward Public Health,94.1,2006
2013-2014,Polio,17,Hastings Prince Edward Public Health,96.7,1996
2013-2014,Polio,7,Huron Perth Public Health,87.5,2006
2013-2014,Polio,17,Huron Perth Public Health,95.7,1996
2013-2014,Polio,7,"Kingston, Frontenac and Lennox & Addington Public Health",92.0,2006
2013-2014,Polio,17,"Kingston, Frontenac and Lennox & Addington Public Health",93.0,1996
2013-2014,Polio,7,Lambton Public Health,88.5,2006
2013-2014,Polio,17,Lambton Public Health,97.0,1996
2013-2014,Polio,7,"Leeds, Grenville & Lanark District Health Unit",80.8,2006
2013-2014,Polio,17,"Leeds, Grenville & Lanark District Health Unit",85.5,1996
2013-2014,Polio,7,Middlesex-London Health Unit,79.8,2006
2013-2014,Polio,17,Middlesex-London Health Unit,96.1,1996
2013-2014,Polio,7,Niagara Region Public Health,87.6,2006
2013-2014,Polio,17,Niagara Region Public Health,96.2,1996
2013-2014,Polio,7,North Bay Parry Sound District Health Unit,96.3,2006
2013-2014,Polio,17,North Bay Parry Sound District Health Unit,97.4,1996
2013-2014,Polio,7,Northwestern Health Unit,96.7,2006
2013-2014,Polio,17,Northwestern Health Unit,97.8,1996
2013-2014,Polio,7,Ontario,86.6,2006
2013-2014,Polio,17,Ontario,94.9,1996
2013-2014,Polio,7,Ottawa Public Health,81.8,2006
2013-2014,Polio,17,Ottawa Public Health,93.8,1996
2013-2014,Polio,7,Peel Public Health,91.2,2006
2013-2014,Polio,17,Peel Public Health,95.7,1996
2013-2014,Polio,7,Peterborough Public Health,80.5,2006
2013-2014,Polio,17,Peterborough Public Health,93.4,1996
2013-2014,Polio,7,Porcupine Health Unit,93.0,2006
2013-2014,Polio,17,Porcupine Health Unit,97.6,1996
2013-2014,Polio,7,Public Health Sudbury & Districts,85.2,2006
2013-2014,Polio,17,Public Health Sudbury & Districts,97.0,1996
2013-2014,Polio,7,Region of Waterloo Public Health and Paramedic Services,94.3,2006
2013-2014,Polio,17,Region of Waterloo Public Health and Paramedic Services,94.9,1996
2013-2014,Polio,7,Renfrew County and District Health Unit,95.1,2006
2013-2014,Polio,17,Renfrew County and District Health Unit,97.4,1996
2013-2014,Polio,7,Simcoe Muskoka District Health Unit,86.5,2006
2013-2014,Polio,17,Simcoe Muskoka District Health Unit,96.0,1996
2013-2014,Polio,7,Southwestern Public Health,85.0,2006
2013-2014,Polio,17,Southwestern Public Health,95.9,1996
2013-2014,Polio,7,Thunder Bay District Health Unit,92.9,2006
2013-2014,Polio,17,Thunder Bay District Health Unit,97.4,1996
2013-2014,Polio,7,Timiskaming Health Unit,96.2,2006
2013-2014,Polio,17,Timiskaming Health Unit,98.7,1996
2013-2014,Polio,7,Toronto Public Health,90.7,2006
2013-2014,Polio,17,Toronto Public Health,92.5,1996
2013-2014,Polio,7,Wellington-Dufferin-Guelph Public Health,69.8,2006
2013-2014,Polio,17,Wellington-Dufferin-Guelph Public Health,96.0,1996
2013-2014,Polio,7,Windsor-Essex County Health Unit,76.1,2006
2013-2014,Polio,17,Windsor-Essex County Health Unit,94.5,1996
2013-2014,Polio,7,York Region Public Health,91.4,2006
2013-2014,Polio,17,York Region Public Health,95.2,1996
2013-2014,Rubella,7,Algoma Public Health,99.1,2006
2013-2014,Rubella,17,Algoma Public Health,99.4,1996
2013-2014,Rubella,7,Brant County Health Unit,97.3,2006
2013-2014,Rubella,17,Brant County Health Unit,98.6,1996
2013-2014,Rubella,7,Chatham-Kent Public Health,97.9,2006
2013-2014,Rubella,17,Chatham-Kent Public Health,99.2,1996
2013-2014,Rubella,7,City of Hamilton Public Health Services,98.1,2006
2013-2014,Rubella,17,City of Hamilton Public Health Services,98.9,1996
2013-2014,Rubella,7,Durham Region Health Department,98.7,2006
2013-2014,Rubella,17,Durham Region Health Department,99.3,1996
2013-2014,Rubella,7,Eastern Ontario Health Unit,97.7,2006
2013-2014,Rubella,17,Eastern Ontario Health Unit,98.3,1996
2013-2014,Rubella,7,Grey Bruce Public Health,97.6,2006
2013-2014,Rubella,17,Grey Bruce Public Health,98.3,1996
2013-2014,Rubella,7,Haldimand-Norfolk Health Unit,95.3,2006
2013-2014,Rubella,17,Haldimand-Norfolk Health Unit,98.4,1996
2013-2014,Rubella,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",98.3,2006
2013-2014,Rubella,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",99.0,1996
2013-2014,Rubella,7,Halton Region Public Health,97.8,2006
2013-2014,Rubella,17,Halton Region Public Health,98.5,1996
2013-2014,Rubella,7,Hastings Prince Edward Public Health,98.4,2006
2013-2014,Rubella,17,Hastings Prince Edward Public Health,98.7,1996
2013-2014,Rubella,7,Huron Perth Public Health,96.9,2006
2013-2014,Rubella,17,Huron Perth Public Health,97.7,1996
2013-2014,Rubella,7,"Kingston, Frontenac and Lennox & Addington Public Health",99.1,2006
2013-2014,Rubella,17,"Kingston, Frontenac and Lennox & Addington Public Health",99.1,1996
2013-2014,Rubella,7,Lambton Public Health,98.0,2006
2013-2014,Rubella,17,Lambton Public Health,99.2,1996
2013-2014,Rubella,7,"Leeds, Grenville & Lanark District Health Unit",98.2,2006
2013-2014,Rubella,17,"Leeds, Grenville & Lanark District Health Unit",97.5,1996
2013-2014,Rubella,7,Middlesex-London Health Unit,98.3,2006
2013-2014,Rubella,17,Middlesex-London Health Unit,98.9,1996
2013-2014,Rubella,7,Niagara Region Public Health,97.8,2006
2013-2014,Rubella,17,Niagara Region Public Health,97.8,1996
2013-2014,Rubella,7,North Bay Parry Sound District Health Unit,98.7,2006
2013-2014,Rubella,17,North Bay Parry Sound District Health Unit,99.2,1996
2013-2014,Rubella,7,Northwestern Health Unit,98.9,2006
2013-2014,Rubella,17,Northwestern Health Unit,99.4,1996
2013-2014,Rubella,7,Ontario,98.2,2006
2013-2014,Rubella,17,Ontario,98.5,1996
2013-2014,Rubella,7,Ottawa Public Health,98.5,2006
2013-2014,Rubella,17,Ottawa Public Health,99.0,1996
2013-2014,Rubella,7,Peel Public Health,98.9,2006
2013-2014,Rubella,17,Peel Public Health,98.9,1996
2013-2014,Rubella,7,Peterborough Public Health,96.4,2006
2013-2014,Rubella,17,Peterborough Public Health,96.2,1996
2013-2014,Rubella,7,Porcupine Health Unit,98.9,2006
2013-2014,Rubella,17,Porcupine Health Unit,98.7,1996
2013-2014,Rubella,7,Public Health Sudbury & Districts,98.3,2006
2013-2014,Rubella,17,Public Health Sudbury & Districts,99.3,1996
2013-2014,Rubella,7,Region of Waterloo Public Health and Paramedic Services,98.2,2006
2013-2014,Rubella,17,Region of Waterloo Public Health and Paramedic Services,98.5,1996
2013-2014,Rubella,7,Renfrew County and District Health Unit,99.3,2006
2013-2014,Rubella,17,Renfrew County and District Health Unit,99.0,1996
2013-2014,Rubella,7,Simcoe Muskoka District Health Unit,97.9,2006
2013-2014,Rubella,17,Simcoe Muskoka District Health Unit,98.7,1996
2013-2014,Rubella,7,Southwestern Public Health,95.7,2006
2013-2014,Rubella,17,Southwestern Public Health,98.1,1996
2013-2014,Rubella,7,Thunder Bay District Health Unit,98.0,2006
2013-2014,Rubella,17,Thunder Bay District Health Unit,98.2,1996
2013-2014,Rubella,7,Timiskaming Health Unit,99.1,2006
2013-2014,Rubella,17,Timiskaming Health Unit,99.5,1996
2013-2014,Rubella,7,Toronto Public Health,98.3,2006
2013-2014,Rubella,17,Toronto Public Health,97.7,1996
2013-2014,Rubella,7,Wellington-Dufferin-Guelph Public Health,97.5,2006
2013-2014,Rubella,17,Wellington-Dufferin-Guelph Public Health,98.3,1996
2013-2014,Rubella,7,Windsor-Essex County Health Unit,96.8,2006
2013-2014,Rubella,17,Windsor-Essex County Health Unit,99.1,1996
2013-2014,Rubella,7,York Region Public Health,98.3,2006
2013-2014,Rubella,17,York Region Public Health,98.3,1996
2013-2014,Tetanus,7,Algoma Public Health,89.3,2006
2013-2014,Tetanus,17,Algoma Public Health,88.1,1996
2013-2014,Tetanus,7,Brant County Health Unit,90.2,2006
2013-2014,Tetanus,17,Brant County Health Unit,82.4,1996
2013-2014,Tetanus,7,Chatham-Kent Public Health,90.0,2006
2013-2014,Tetanus,17,Chatham-Kent Public Health,88.1,1996
2013-2014,Tetanus,7,City of Hamilton Public Health Services,79.9,2006
2013-2014,Tetanus,17,City of Hamilton Public Health Services,17.5,1996
2013-2014,Tetanus,7,Durham Region Health Department,95.3,2006
2013-2014,Tetanus,17,Durham Region Health Department,83.2,1996
2013-2014,Tetanus,7,Eastern Ontario Health Unit,89.1,2006
2013-2014,Tetanus,17,Eastern Ontario Health Unit,72.6,1996
2013-2014,Tetanus,7,Grey Bruce Public Health,89.3,2006
2013-2014,Tetanus,17,Grey Bruce Public Health,86.4,1996
2013-2014,Tetanus,7,Haldimand-Norfolk Health Unit,55.9,2006
2013-2014,Tetanus,17,Haldimand-Norfolk Health Unit,78.9,1996
2013-2014,Tetanus,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",61.6,2006
2013-2014,Tetanus,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",69.3,1996
2013-2014,Tetanus,7,Halton Region Public Health,67.4,2006
2013-2014,Tetanus,17,Halton Region Public Health,69.0,1996
2013-2014,Tetanus,7,Hastings Prince Edward Public Health,93.9,2006
2013-2014,Tetanus,17,Hastings Prince Edward Public Health,85.9,1996
2013-2014,Tetanus,7,Huron Perth Public Health,87.6,2006
2013-2014,Tetanus,17,Huron Perth Public Health,90.1,1996
2013-2014,Tetanus,7,"Kingston, Frontenac and Lennox & Addington Public Health",91.8,2006
2013-2014,Tetanus,17,"Kingston, Frontenac and Lennox & Addington Public Health",57.3,1996
2013-2014,Tetanus,7,Lambton Public Health,88.0,2006
2013-2014,Tetanus,17,Lambton Public Health,77.4,1996
2013-2014,Tetanus,7,"Leeds, Grenville & Lanark District Health Unit",80.7,2006
2013-2014,Tetanus,17,"Leeds, Grenville & Lanark District Health Unit",61.6,1996
2013-2014,Tetanus,7,Middlesex-London Health Unit,79.4,2006
2013-2014,Tetanus,17,Middlesex-London Health Unit,80.0,1996
2013-2014,Tetanus,7,Niagara Region Public Health,87.4,2006
2013-2014,Tetanus,17,Niagara Region Public Health,79.2,1996
2013-2014,Tetanus,7,North Bay Parry Sound District Health Unit,96.0,2006
2013-2014,Tetanus,17,North Bay Parry Sound District Health Unit,83.0,1996
2013-2014,Tetanus,7,Northwestern Health Unit,95.9,2006
2013-2014,Tetanus,17,Northwestern Health Unit,89.7,1996
2013-2014,Tetanus,7,Ontario,86.4,2006
2013-2014,Tetanus,17,Ontario,72.2,1996
2013-2014,Tetanus,7,Ottawa Public Health,81.5,2006
2013-2014,Tetanus,17,Ottawa Public Health,71.3,1996
2013-2014,Tetanus,7,Peel Public Health,91.0,2006
2013-2014,Tetanus,17,Peel Public Health,75.2,1996
2013-2014,Tetanus,7,Peterborough Public Health,80.5,2006
2013-2014,Tetanus,17,Peterborough Public Health,69.2,1996
2013-2014,Tetanus,7,Porcupine Health Unit,92.2,2006
2013-2014,Tetanus,17,Porcupine Health Unit,88.1,1996
2013-2014,Tetanus,7,Public Health Sudbury & Districts,85.0,2006
2013-2014,Tetanus,17,Public Health Sudbury & Districts,78.7,1996
2013-2014,Tetanus,7,Region of Waterloo Public Health and Paramedic Services,94.1,2006
2013-2014,Tetanus,17,Region of Waterloo Public Health and Paramedic Services,78.3,1996
2013-2014,Tetanus,7,Renfrew County and District Health Unit,94.8,2006
2013-2014,Tetanus,17,Renfrew County and District Health Unit,79.6,1996
2013-2014,Tetanus,7,Simcoe Muskoka District Health Unit,86.3,2006
2013-2014,Tetanus,17,Simcoe Muskoka District Health Unit,73.0,1996
2013-2014,Tetanus,7,Southwestern Public Health,84.9,2006
2013-2014,Tetanus,17,Southwestern Public Health,87.6,1996
2013-2014,Tetanus,7,Thunder Bay District Health Unit,92.4,2006
2013-2014,Tetanus,17,Thunder Bay District Health Unit,88.9,1996
2013-2014,Tetanus,7,Timiskaming Health Unit,96.2,2006
2013-2014,Tetanus,17,Timiskaming Health Unit,92.7,1996
2013-2014,Tetanus,7,Toronto Public Health,89.8,2006
2013-2014,Tetanus,17,Toronto Public Health,69.8,1996
2013-2014,Tetanus,7,Wellington-Dufferin-Guelph Public Health,69.9,2006
2013-2014,Tetanus,17,Wellington-Dufferin-Guelph Public Health,73.7,1996
2013-2014,Tetanus,7,Windsor-Essex County Health Unit,76.2,2006
2013-2014,Tetanus,17,Windsor-Essex County Health Unit,45.1,1996
2013-2014,Tetanus,7,York Region Public Health,91.2,2006
2013-2014,Tetanus,17,York Region Public Health,77.6,1996
2013-2014,Varicella,7,Algoma Public Health,39.4,2006
2013-2014,Varicella,7,Brant County Health Unit,24.9,2006
2013-2014,Varicella,7,Chatham-Kent Public Health,34.8,2006
2013-2014,Varicella,7,City of Hamilton Public Health Services,26.3,2006
2013-2014,Varicella,7,Durham Region Health Department,23.2,2006
2013-2014,Varicella,7,Eastern Ontario Health Unit,33.9,2006
2013-2014,Varicella,7,Grey Bruce Public Health,34.4,2006
2013-2014,Varicella,7,Haldimand-Norfolk Health Unit,14.7,2006
2013-2014,Varicella,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",14.2,2006
2013-2014,Varicella,7,Halton Region Public Health,13.4,2006
2013-2014,Varicella,7,Hastings Prince Edward Public Health,24.0,2006
2013-2014,Varicella,7,Huron Perth Public Health,31.5,2006
2013-2014,Varicella,7,"Kingston, Frontenac and Lennox & Addington Public Health",37.4,2006
2013-2014,Varicella,7,Lambton Public Health,20.9,2006
2013-2014,Varicella,7,"Leeds, Grenville & Lanark District Health Unit",20.7,2006
2013-2014,Varicella,7,Middlesex-London Health Unit,24.6,2006
2013-2014,Varicella,7,Niagara Region Public Health,30.3,2006
2013-2014,Varicella,7,North Bay Parry Sound District Health Unit,36.9,2006
2013-2014,Varicella,7,Northwestern Health Unit,9.6,2006
2013-2014,Varicella,7,Ontario,24.8,2006
2013-2014,Varicella,7,Ottawa Public Health,32.1,2006
2013-2014,Varicella,7,Peel Public Health,18.9,2006
2013-2014,Varicella,7,Peterborough Public Health,26.1,2006
2013-2014,Varicella,7,Porcupine Health Unit,30.0,2006
2013-2014,Varicella,7,Public Health Sudbury & Districts,29.7,2006
2013-2014,Varicella,7,Region of Waterloo Public Health and Paramedic Services,22.9,2006
2013-2014,Varicella,7,Renfrew County and District Health Unit,19.4,2006
2013-2014,Varicella,7,Simcoe Muskoka District Health Unit,34.7,2006
2013-2014,Varicella,7,Southwestern Public Health,25.9,2006
2013-2014,Varicella,7,Thunder Bay District Health Unit,18.5,2006
2013-2014,Varicella,7,Timiskaming Health Unit,36.4,2006
2013-2014,Varicella,7,Toronto Public Health,21.1,2006
2013-2014,Varicella,7,Wellington-Dufferin-Guelph Public Health,34.5,2006
2013-2014,Varicella,7,Windsor-Essex County Health Unit,33.5,2006
2013-2014,Varicella,7,York Region Public Health,25.9,2006
