public_health_unit,outcome,surveillance_period,surveillance_week,start_of_time_period,end_of_time_period,number,population,number_per_100_000_population
Niagara Region Public Health,COVID-19 deaths,2022-23,49,2022-12-04,2022-12-10,1,508782,0.1965478338463231
Niagara Region Public Health,COVID-19 hospital ICU bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,4,508782,0.7861913353852927
Niagara Region Public Health,COVID-19 hospital admissions,2022-23,49,2022-12-04,2022-12-10,26,508782,5.110243680004403
Niagara Region Public Health,COVID-19 hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,11,508782,2.162026172309555
Niagara Region Public Health,COVID-19 hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,39,508782,7.6653655200066035
Niagara Region Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,49,2022-12-04,2022-12-10,73,508782,14.347991870781591
Niagara Region Public Health,Influenza hospital admissions,2022-23,49,2022-12-04,2022-12-10,51,508782,10.023939526162485
Niagara Region Public Health,Influenza hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,11,508782,2.162026172309555
Niagara Region Public Health,Influenza hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,20,508782,3.930956676926464
Niagara Region Public Health,RSV hospital admissions,2022-23,49,2022-12-04,2022-12-10,43,508782,8.451556855391896
Niagara Region Public Health,RSV hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,13,508782,2.5551218400022013
Ontario,COVID-19 deaths,2022-23,49,2022-12-04,2022-12-10,74,15141455,0.4887244984052061
Ontario,COVID-19 hospital ICU bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,90,15141455,0.5943946602225479
Ontario,COVID-19 hospital admissions,2022-23,49,2022-12-04,2022-12-10,788,15141455,5.204255469504086
Ontario,COVID-19 hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,464,15141455,3.0644346927029136
Ontario,COVID-19 hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,1175,15141455,7.760152508461043
Ontario,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,49,2022-12-04,2022-12-10,2002,15141455,13.2219789973949
Ontario,Influenza hospital admissions,2022-23,49,2022-12-04,2022-12-10,624,15141455,4.121136310876333
Ontario,Influenza hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,291,15141455,1.9218760680529048
Ontario,Influenza hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,492,15141455,3.2493574758832624
Ontario,RSV hospital admissions,2022-23,49,2022-12-04,2022-12-10,548,15141455,3.619203042243959
Ontario,RSV hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,335,15141455,2.212469013050596
Ottawa Public Health,COVID-19 deaths,2022-23,49,2022-12-04,2022-12-10,4,1082567,0.3694921422877291
Ottawa Public Health,COVID-19 hospital ICU bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,5,1082567,0.4618651778596613
Ottawa Public Health,COVID-19 hospital admissions,2022-23,49,2022-12-04,2022-12-10,47,1082567,4.341532671880817
Ottawa Public Health,COVID-19 hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,49,1082567,4.5262787430246805
Ottawa Public Health,COVID-19 hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,126,1082567,11.639002482063466
Ottawa Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,49,2022-12-04,2022-12-10,215,1082567,19.86020264796544
Ottawa Public Health,Influenza hospital admissions,2022-23,49,2022-12-04,2022-12-10,19,1082567,1.755087675866713
Ottawa Public Health,Influenza hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,30,1082567,2.771191067157968
Ottawa Public Health,Influenza hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,57,1082567,5.265263027600139
Ottawa Public Health,RSV hospital admissions,2022-23,49,2022-12-04,2022-12-10,14,1082567,1.2932224980070517
Ottawa Public Health,RSV hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,33,1082567,3.048310173873765
Peel Public Health,COVID-19 deaths,2022-23,49,2022-12-04,2022-12-10,8,1529179,0.5231565434785594
Peel Public Health,COVID-19 hospital ICU bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,7,1529179,0.4577619755437395
Peel Public Health,COVID-19 hospital admissions,2022-23,49,2022-12-04,2022-12-10,91,1529179,5.950905682068613
Peel Public Health,COVID-19 hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,47,1529179,3.0735446929365366
Peel Public Health,COVID-19 hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,92,1529179,6.016300250003433
Peel Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,49,2022-12-04,2022-12-10,136,1529179,8.893661239135511
Peel Public Health,Influenza hospital admissions,2022-23,49,2022-12-04,2022-12-10,27,1529179,1.765653334240138
Peel Public Health,Influenza hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,22,1529179,1.4386804945660383
Peel Public Health,Influenza hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,28,1529179,1.831047902174958
Peel Public Health,RSV hospital admissions,2022-23,49,2022-12-04,2022-12-10,24,1529179,1.5694696304356783
Peel Public Health,RSV hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,16,1529179,1.0463130869571189
Public Health Sudbury & Districts,COVID-19 deaths,2022-23,49,2022-12-04,2022-12-10,1,213431,0.4685354985920508
Public Health Sudbury & Districts,COVID-19 hospital ICU bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,2,213431,0.9370709971841016
Public Health Sudbury & Districts,COVID-19 hospital admissions,2022-23,49,2022-12-04,2022-12-10,28,213431,13.118993960577424
Public Health Sudbury & Districts,COVID-19 hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,9,213431,4.216819487328458
Public Health Sudbury & Districts,COVID-19 hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,21,213431,9.839245470433069
Public Health Sudbury & Districts,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,49,2022-12-04,2022-12-10,39,213431,18.272884445089986
Public Health Sudbury & Districts,Influenza hospital admissions,2022-23,49,2022-12-04,2022-12-10,25,213431,11.713387464801272
Public Health Sudbury & Districts,Influenza hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,13,213431,6.09096148169666
Public Health Sudbury & Districts,Influenza hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,14,213431,6.559496980288712
Public Health Sudbury & Districts,RSV hospital admissions,2022-23,49,2022-12-04,2022-12-10,8,213431,3.748283988736407
Public Health Sudbury & Districts,RSV hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,4,213431,1.874141994368204
Region of Waterloo Public Health and Emergency Services,COVID-19 deaths,2022-23,49,2022-12-04,2022-12-10,4,638084,0.6268767121570201
Region of Waterloo Public Health and Emergency Services,COVID-19 hospital ICU bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,4,638084,0.6268767121570201
Region of Waterloo Public Health and Emergency Services,COVID-19 hospital admissions,2022-23,49,2022-12-04,2022-12-10,5,638084,0.7835958901962751
Region of Waterloo Public Health and Emergency Services,COVID-19 hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,18,638084,2.8209452047065904
Region of Waterloo Public Health and Emergency Services,COVID-19 hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,35,638084,5.485171231373926
Region of Waterloo Public Health and Emergency Services,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,49,2022-12-04,2022-12-10,64,638084,10.030027394512322
Region of Waterloo Public Health and Emergency Services,Influenza hospital admissions,2022-23,49,2022-12-04,2022-12-10,12,638084,1.8806301364710605
Region of Waterloo Public Health and Emergency Services,Influenza hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,4,638084,0.6268767121570201
Region of Waterloo Public Health and Emergency Services,Influenza hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,17,638084,2.664226026667335
Region of Waterloo Public Health and Emergency Services,RSV hospital admissions,2022-23,49,2022-12-04,2022-12-10,9,638084,1.4104726023532952
Region of Waterloo Public Health and Emergency Services,RSV hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,12,638084,1.8806301364710605
Simcoe Muskoka District Health Unit,COVID-19 deaths,2022-23,49,2022-12-04,2022-12-10,2,643544,0.3107790609499894
Simcoe Muskoka District Health Unit,COVID-19 hospital ICU bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,2,643544,0.3107790609499894
Simcoe Muskoka District Health Unit,COVID-19 hospital admissions,2022-23,49,2022-12-04,2022-12-10,39,643544,6.060191688524794
Simcoe Muskoka District Health Unit,COVID-19 hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,15,643544,2.3308429571249207
Simcoe Muskoka District Health Unit,COVID-19 hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,46,643544,7.147918401849757
Simcoe Muskoka District Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,49,2022-12-04,2022-12-10,75,643544,11.654214785624603
Simcoe Muskoka District Health Unit,Influenza hospital admissions,2022-23,49,2022-12-04,2022-12-10,9,643544,1.3985057742749525
Simcoe Muskoka District Health Unit,Influenza hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,4,643544,0.6215581218999789
Simcoe Muskoka District Health Unit,Influenza hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,16,643544,2.486232487599916
Simcoe Muskoka District Health Unit,RSV hospital admissions,2022-23,49,2022-12-04,2022-12-10,8,643544,1.243116243799958
Simcoe Muskoka District Health Unit,RSV hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,13,643544,2.0200638961749315
South East Public Health,COVID-19 deaths,2022-23,49,2022-12-04,2022-12-10,4,591870,0.6758240829911973
South East Public Health,COVID-19 hospital ICU bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,6,591870,1.0137361244867962
South East Public Health,COVID-19 hospital admissions,2022-23,49,2022-12-04,2022-12-10,8,591870,1.351648165982395
South East Public Health,COVID-19 hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,14,591870,2.36538429046919
South East Public Health,COVID-19 hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,25,591870,4.223900518694983
South East Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,49,2022-12-04,2022-12-10,50,591870,8.447801037389967
South East Public Health,Influenza hospital admissions,2022-23,49,2022-12-04,2022-12-10,11,591870,1.858516228225793
South East Public Health,Influenza hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,10,591870,1.6895602074779934
South East Public Health,Influenza hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,15,591870,2.53434031121699
South East Public Health,RSV hospital admissions,2022-23,49,2022-12-04,2022-12-10,1,591870,0.1689560207477993
South East Public Health,RSV hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,10,591870,1.6895602074779934
Southwestern Public Health,COVID-19 deaths,2022-23,49,2022-12-04,2022-12-10,0,230304,0.0
Southwestern Public Health,COVID-19 hospital ICU bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,2,230304,0.8684173961372795
Southwestern Public Health,COVID-19 hospital admissions,2022-23,49,2022-12-04,2022-12-10,8,230304,3.473669584549118
Southwestern Public Health,COVID-19 hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,6,230304,2.6052521884118383
Southwestern Public Health,COVID-19 hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,27,230304,11.723634847853273
Southwestern Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,49,2022-12-04,2022-12-10,47,230304,20.407808809226065
Southwestern Public Health,Influenza hospital admissions,2022-23,49,2022-12-04,2022-12-10,7,230304,3.039460886480478
Southwestern Public Health,Influenza hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,5,230304,2.1710434903431985
Southwestern Public Health,Influenza hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,12,230304,5.2105043768236765
Southwestern Public Health,RSV hospital admissions,2022-23,49,2022-12-04,2022-12-10,16,230304,6.947339169098236
Southwestern Public Health,RSV hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,7,230304,3.039460886480478
Thunder Bay District Health Unit,COVID-19 deaths,2022-23,49,2022-12-04,2022-12-10,1,159981,0.6250742275645232
Thunder Bay District Health Unit,COVID-19 hospital ICU bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,1,159981,0.6250742275645232
Thunder Bay District Health Unit,COVID-19 hospital admissions,2022-23,49,2022-12-04,2022-12-10,12,159981,7.500890730774279
Thunder Bay District Health Unit,COVID-19 hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,3,159981,1.8752226826935696
Thunder Bay District Health Unit,COVID-19 hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,10,159981,6.250742275645233
Thunder Bay District Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,49,2022-12-04,2022-12-10,16,159981,10.001187641032372
Thunder Bay District Health Unit,Influenza hospital admissions,2022-23,49,2022-12-04,2022-12-10,8,159981,5.000593820516186
Thunder Bay District Health Unit,Influenza hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,2,159981,1.2501484551290465
Thunder Bay District Health Unit,Influenza hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,4,159981,2.500296910258093
Thunder Bay District Health Unit,RSV hospital admissions,2022-23,49,2022-12-04,2022-12-10,3,159981,1.8752226826935696
Thunder Bay District Health Unit,RSV hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,1,159981,0.6250742275645232
Toronto Public Health,COVID-19 deaths,2022-23,49,2022-12-04,2022-12-10,18,2983890,0.6032393955541256
Toronto Public Health,COVID-19 hospital ICU bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,21,2983890,0.7037792948131466
Toronto Public Health,COVID-19 hospital admissions,2022-23,49,2022-12-04,2022-12-10,255,2983890,8.545891437016781
Toronto Public Health,COVID-19 hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,164,2983890,5.496181159493145
Toronto Public Health,COVID-19 hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,351,2983890,11.76316821330545
Toronto Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,49,2022-12-04,2022-12-10,516,2983890,17.292862672551603
Toronto Public Health,Influenza hospital admissions,2022-23,49,2022-12-04,2022-12-10,66,2983890,2.2118777836984607
Toronto Public Health,Influenza hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,73,2983890,2.4464708819695096
Toronto Public Health,Influenza hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,102,2983890,3.418356574806712
Toronto Public Health,RSV hospital admissions,2022-23,49,2022-12-04,2022-12-10,56,2983890,1.8767447861683908
Toronto Public Health,RSV hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,62,2983890,2.0778245846864327
Wellington-Dufferin-Guelph Public Health,COVID-19 deaths,2022-23,49,2022-12-04,2022-12-10,1,326924,0.3058814892757949
Wellington-Dufferin-Guelph Public Health,COVID-19 hospital ICU bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,1,326924,0.3058814892757949
Wellington-Dufferin-Guelph Public Health,COVID-19 hospital admissions,2022-23,49,2022-12-04,2022-12-10,12,326924,3.67057787130954
Wellington-Dufferin-Guelph Public Health,COVID-19 hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,15,326924,4.588222339136925
Wellington-Dufferin-Guelph Public Health,COVID-19 hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,24,326924,7.34115574261908
Wellington-Dufferin-Guelph Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,49,2022-12-04,2022-12-10,33,326924,10.094089146101236
Wellington-Dufferin-Guelph Public Health,Influenza hospital admissions,2022-23,49,2022-12-04,2022-12-10,7,326924,2.141170424930565
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,6,326924,1.83528893565477
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,7,326924,2.141170424930565
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,2022-23,49,2022-12-04,2022-12-10,3,326924,0.917644467827385
Wellington-Dufferin-Guelph Public Health,RSV hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,2,326924,0.6117629785515899
Windsor-Essex County Health Unit,COVID-19 deaths,2022-23,49,2022-12-04,2022-12-10,5,452817,1.1041988264574871
Windsor-Essex County Health Unit,COVID-19 hospital ICU bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,5,452817,1.1041988264574871
Windsor-Essex County Health Unit,COVID-19 hospital admissions,2022-23,49,2022-12-04,2022-12-10,48,452817,10.600308733991875
Windsor-Essex County Health Unit,COVID-19 hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,23,452817,5.079314601704442
Windsor-Essex County Health Unit,COVID-19 hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,37,452817,8.171071315785406
Windsor-Essex County Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,49,2022-12-04,2022-12-10,51,452817,11.26282802986637
Windsor-Essex County Health Unit,Influenza hospital admissions,2022-23,49,2022-12-04,2022-12-10,13,452817,2.870916948789467
Windsor-Essex County Health Unit,Influenza hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,6,452817,1.3250385917489846
Windsor-Essex County Health Unit,Influenza hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,6,452817,1.3250385917489846
Windsor-Essex County Health Unit,RSV hospital admissions,2022-23,49,2022-12-04,2022-12-10,14,452817,3.0917567140809648
Windsor-Essex County Health Unit,RSV hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,7,452817,1.5458783570404824
York Region Public Health,COVID-19 deaths,2022-23,49,2022-12-04,2022-12-10,8,1230636,0.6500703701175653
York Region Public Health,COVID-19 hospital ICU bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,6,1230636,0.4875527775881739
York Region Public Health,COVID-19 hospital admissions,2022-23,49,2022-12-04,2022-12-10,48,1230636,3.900422220705391
York Region Public Health,COVID-19 hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,33,1230636,2.6815402767349568
York Region Public Health,COVID-19 hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,63,1230636,5.119304164675826
York Region Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,49,2022-12-04,2022-12-10,104,1230636,8.450914811528348
York Region Public Health,Influenza hospital admissions,2022-23,49,2022-12-04,2022-12-10,20,1230636,1.6251759252939129
York Region Public Health,Influenza hospital bed occupancy (due to infection),2022-23,49,2022-12-04,2022-12-10,10,1230636,0.8125879626469564
York Region Public Health,Influenza hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,19,1230636,1.5439171290292173
York Region Public Health,RSV hospital admissions,2022-23,49,2022-12-04,2022-12-10,27,1230636,2.1939874991467825
York Region Public Health,RSV hospital bed occupancy (total),2022-23,49,2022-12-04,2022-12-10,23,1230636,1.868952314088
City of Hamilton Public Health Services,COVID-19 deaths,2022-23,48,2022-11-27,2022-12-03,4,602551,0.6638442223147916
City of Hamilton Public Health Services,COVID-19 hospital ICU bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,5,602551,0.8298052778934895
City of Hamilton Public Health Services,COVID-19 hospital admissions,2022-23,48,2022-11-27,2022-12-03,33,602551,5.476714834097031
City of Hamilton Public Health Services,COVID-19 hospital bed occupancy (due to infection),2022-23,48,2022-11-27,2022-12-03,4,602551,0.6638442223147916
City of Hamilton Public Health Services,COVID-19 hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,75,602551,12.447079168402343
City of Hamilton Public Health Services,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,48,2022-11-27,2022-12-03,182,602551,30.20491211532301
City of Hamilton Public Health Services,Influenza hospital admissions,2022-23,48,2022-11-27,2022-12-03,58,602551,9.62574122356448
City of Hamilton Public Health Services,Influenza hospital bed occupancy (due to infection),2022-23,48,2022-11-27,2022-12-03,33,602551,5.476714834097031
City of Hamilton Public Health Services,Influenza hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,62,602551,10.28958544587927
City of Hamilton Public Health Services,RSV hospital admissions,2022-23,48,2022-11-27,2022-12-03,52,602551,8.62997489009229
City of Hamilton Public Health Services,RSV hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,45,602551,7.4682475010414064
Durham Region Health Department,COVID-19 deaths,2022-23,48,2022-11-27,2022-12-03,2,745514,0.2682712866559179
Durham Region Health Department,COVID-19 hospital ICU bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,2,745514,0.2682712866559179
Durham Region Health Department,COVID-19 hospital admissions,2022-23,48,2022-11-27,2022-12-03,0,745514,0.0
Durham Region Health Department,COVID-19 hospital bed occupancy (due to infection),2022-23,48,2022-11-27,2022-12-03,2,745514,0.2682712866559179
Durham Region Health Department,COVID-19 hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,25,745514,3.3533910831989737
Durham Region Health Department,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,48,2022-11-27,2022-12-03,37,745514,4.9630188031344815
Durham Region Health Department,Influenza hospital admissions,2022-23,48,2022-11-27,2022-12-03,6,745514,0.8048138599677538
Durham Region Health Department,Influenza hospital bed occupancy (due to infection),2022-23,48,2022-11-27,2022-12-03,0,745514,0.0
Durham Region Health Department,Influenza hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,5,745514,0.6706782166397949
Durham Region Health Department,RSV hospital admissions,2022-23,48,2022-11-27,2022-12-03,1,745514,0.1341356433279589
Durham Region Health Department,RSV hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,7,745514,0.9389495032957128
Eastern Ontario Health Unit,COVID-19 deaths,2022-23,48,2022-11-27,2022-12-03,2,224557,0.8906424649420859
Eastern Ontario Health Unit,COVID-19 hospital ICU bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,1,224557,0.4453212324710429
Eastern Ontario Health Unit,COVID-19 hospital admissions,2022-23,48,2022-11-27,2022-12-03,23,224557,10.24238834683399
Eastern Ontario Health Unit,COVID-19 hospital bed occupancy (due to infection),2022-23,48,2022-11-27,2022-12-03,6,224557,2.671927394826258
Eastern Ontario Health Unit,COVID-19 hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,14,224557,6.2344972545946025
Eastern Ontario Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,48,2022-11-27,2022-12-03,20,224557,8.90642464942086
Eastern Ontario Health Unit,Influenza hospital admissions,2022-23,48,2022-11-27,2022-12-03,1,224557,0.4453212324710429
Eastern Ontario Health Unit,Influenza hospital bed occupancy (due to infection),2022-23,48,2022-11-27,2022-12-03,3,224557,1.335963697413129
Eastern Ontario Health Unit,Influenza hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,5,224557,2.226606162355215
Eastern Ontario Health Unit,RSV hospital admissions,2022-23,48,2022-11-27,2022-12-03,0,224557,0.0
Eastern Ontario Health Unit,RSV hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,0,224557,0.0
Grand Erie Public Health,COVID-19 deaths,2022-23,48,2022-11-27,2022-12-03,3,287988,1.041710071252969
Grand Erie Public Health,COVID-19 hospital ICU bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,0,287988,0.0
Grand Erie Public Health,COVID-19 hospital admissions,2022-23,48,2022-11-27,2022-12-03,9,287988,3.1251302137589065
Grand Erie Public Health,COVID-19 hospital bed occupancy (due to infection),2022-23,48,2022-11-27,2022-12-03,7,287988,2.430656832923594
Grand Erie Public Health,COVID-19 hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,19,287988,6.59749711793547
Grand Erie Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,48,2022-11-27,2022-12-03,42,287988,14.583940997541564
Grand Erie Public Health,Influenza hospital admissions,2022-23,48,2022-11-27,2022-12-03,6,287988,2.083420142505938
Grand Erie Public Health,Influenza hospital bed occupancy (due to infection),2022-23,48,2022-11-27,2022-12-03,12,287988,4.166840285011876
Grand Erie Public Health,Influenza hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,19,287988,6.59749711793547
Grand Erie Public Health,RSV hospital admissions,2022-23,48,2022-11-27,2022-12-03,3,287988,1.041710071252969
Grand Erie Public Health,RSV hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,3,287988,1.041710071252969
Grey Bruce Health Unit,COVID-19 deaths,2022-23,48,2022-11-27,2022-12-03,0,185318,0.0
Grey Bruce Health Unit,COVID-19 hospital ICU bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,1,185318,0.5396129895638848
Grey Bruce Health Unit,COVID-19 hospital admissions,2022-23,48,2022-11-27,2022-12-03,4,185318,2.15845195825554
Grey Bruce Health Unit,COVID-19 hospital bed occupancy (due to infection),2022-23,48,2022-11-27,2022-12-03,3,185318,1.6188389686916542
Grey Bruce Health Unit,COVID-19 hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,5,185318,2.698064947819424
Grey Bruce Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,48,2022-11-27,2022-12-03,12,185318,6.475355874766617
Grey Bruce Health Unit,Influenza hospital admissions,2022-23,48,2022-11-27,2022-12-03,6,185318,3.2376779373833084
Grey Bruce Health Unit,Influenza hospital bed occupancy (due to infection),2022-23,48,2022-11-27,2022-12-03,4,185318,2.15845195825554
Grey Bruce Health Unit,Influenza hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,5,185318,2.698064947819424
Grey Bruce Health Unit,RSV hospital admissions,2022-23,48,2022-11-27,2022-12-03,1,185318,0.5396129895638848
Grey Bruce Health Unit,RSV hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,2,185318,1.0792259791277696
Halton Region Public Health,COVID-19 deaths,2022-23,48,2022-11-27,2022-12-03,3,630507,0.4758075643886587
Halton Region Public Health,COVID-19 hospital ICU bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,3,630507,0.4758075643886587
Halton Region Public Health,COVID-19 hospital admissions,2022-23,48,2022-11-27,2022-12-03,10,630507,1.586025214628862
Halton Region Public Health,COVID-19 hospital bed occupancy (due to infection),2022-23,48,2022-11-27,2022-12-03,10,630507,1.586025214628862
Halton Region Public Health,COVID-19 hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,27,630507,4.282268079497928
Halton Region Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2022-23,48,2022-11-27,2022-12-03,47,630507,7.454318508755652
Halton Region Public Health,Influenza hospital admissions,2022-23,48,2022-11-27,2022-12-03,13,630507,2.061832779017521
Halton Region Public Health,Influenza hospital bed occupancy (due to infection),2022-23,48,2022-11-27,2022-12-03,6,630507,0.9516151287773174
Halton Region Public Health,Influenza hospital bed occupancy (total),2022-23,48,2022-11-27,2022-12-03,14,630507,2.220435300480407
Halton Region Public Health,RSV hospital admissions,2022-23,48,2022-11-27,2022-12-03,8,630507,1.2688201717030898
