public_health_unit,outcome,surveillance_period,surveillance_week,start_of_time_period,end_of_time_period,number,population,number_per_100_000_population
Northwestern Health Unit,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,83909,0.0
Ontario,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,1,16411616,0.0
Ontario,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,3,16411616,0.0
Ontario,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,9,16411616,0.1
Ontario,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,11,16411616,0.1
Ontario,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,40,16411616,0.2
Ontario,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,66,16411616,0.4
Ontario,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,6,16411616,0.0
Ontario,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,13,16411616,0.1
Ontario,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,5,16411616,0.0
Ontario,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,19,16411616,0.1
Ontario,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,2,16411616,0.0
Ontario,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,3,16411616,0.0
Ontario,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,7,16411616,0.0
Ottawa Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,1176037,0.0
Ottawa Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,1176037,0.1
Ottawa Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,1,1176037,0.1
Ottawa Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,6,1176037,0.5
Ottawa Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,7,1176037,0.6
Ottawa Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,11,1176037,0.9
Ottawa Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,1176037,0.0
Ottawa Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,1176037,0.0
Ottawa Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,1176037,0.0
Ottawa Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,3,1176037,0.2
Ottawa Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,1176037,0.1
Ottawa Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,1176037,0.0
Ottawa Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,1176037,0.1
Peel Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,1675372,0.0
