Public_health_unit,Antigen,Age,Year,Coverage
Windsor-Essex County Health Unit,Hib,7,2018-2019,80
Windsor-Essex County Health Unit,MCC,7,2018-2019,94.7
Windsor-Essex County Health Unit,MCV4,12,2018-2019,6.6
Windsor-Essex County Health Unit,MCV4,17,2018-2019,95.4
Windsor-Essex County Health Unit,Measles,17,2018-2019,96.6
Windsor-Essex County Health Unit,Measles,7,2018-2019,69.2
Windsor-Essex County Health Unit,Mumps,17,2018-2019,96.3
Windsor-Essex County Health Unit,Mumps,7,2018-2019,69.1
Windsor-Essex County Health Unit,Pertussis,17,2018-2019,84.6
Windsor-Essex County Health Unit,Pertussis,7,2018-2019,67.2
Windsor-Essex County Health Unit,Pneumo,7,2018-2019,76.8
Windsor-Essex County Health Unit,Polio,17,2018-2019,93.9
Windsor-Essex County Health Unit,Polio,7,2018-2019,68.3
Windsor-Essex County Health Unit,Rubella,17,2018-2019,98.2
Windsor-Essex County Health Unit,Rubella,7,2018-2019,95.7
Windsor-Essex County Health Unit,Tetanus,17,2018-2019,84.8
Windsor-Essex County Health Unit,Tetanus,7,2018-2019,67.4
Windsor-Essex County Health Unit,Varicella,7,2018-2019,62.9
Windsor-Essex County Health Unit,Diphtheria,17,2019-2020,71.9
Windsor-Essex County Health Unit,Diphtheria,7,2019-2020,90.5
Windsor-Essex County Health Unit,HPV,12,2019-2020,67
Windsor-Essex County Health Unit,HPV,17,2019-2020,61
Windsor-Essex County Health Unit,HepB,12,2019-2020,74.3
Windsor-Essex County Health Unit,HepB,17,2019-2020,75.2
Windsor-Essex County Health Unit,Hib,7,2019-2020,83.6
Windsor-Essex County Health Unit,MCC,7,2019-2020,96
Windsor-Essex County Health Unit,MCV4,12,2019-2020,91.6
Windsor-Essex County Health Unit,MCV4,17,2019-2020,89.8
Windsor-Essex County Health Unit,Measles,17,2019-2020,93
Windsor-Essex County Health Unit,Measles,7,2019-2020,91.7
Windsor-Essex County Health Unit,Mumps,17,2019-2020,92.7
Windsor-Essex County Health Unit,Mumps,7,2019-2020,91.6
Windsor-Essex County Health Unit,Pertussis,17,2019-2020,71.7
Windsor-Essex County Health Unit,Pertussis,7,2019-2020,90.5
Windsor-Essex County Health Unit,Pneumo,7,2019-2020,79.6
Windsor-Essex County Health Unit,Polio,17,2019-2020,90.9
Windsor-Essex County Health Unit,Polio,7,2019-2020,91.4
Windsor-Essex County Health Unit,Rota,7,2019-2020,65.4
Windsor-Essex County Health Unit,Rubella,17,2019-2020,96.3
Windsor-Essex County Health Unit,Rubella,7,2019-2020,96.4
Windsor-Essex County Health Unit,Tetanus,17,2019-2020,71.9
Windsor-Essex County Health Unit,Tetanus,7,2019-2020,90.5
Windsor-Essex County Health Unit,Varicella,7,2019-2020,90
Windsor-Essex County Health Unit,Diphtheria,17,2020-2021,18.5
Windsor-Essex County Health Unit,Diphtheria,7,2020-2021,83.1
Windsor-Essex County Health Unit,HPV,12,2020-2021,53.7
Windsor-Essex County Health Unit,HPV,17,2020-2021,59
Windsor-Essex County Health Unit,HepB,12,2020-2021,63
Windsor-Essex County Health Unit,HepB,17,2020-2021,74.8
Windsor-Essex County Health Unit,Hib,7,2020-2021,86.1
Windsor-Essex County Health Unit,MCC,7,2020-2021,95.4
Windsor-Essex County Health Unit,MCV4,12,2020-2021,86.3
Windsor-Essex County Health Unit,MCV4,17,2020-2021,81.9
Windsor-Essex County Health Unit,Measles,17,2020-2021,85.9
Windsor-Essex County Health Unit,Measles,7,2020-2021,83.5
Windsor-Essex County Health Unit,Mumps,17,2020-2021,85.5
Windsor-Essex County Health Unit,Mumps,7,2020-2021,83.2
Windsor-Essex County Health Unit,Pertussis,17,2020-2021,18.3
Windsor-Essex County Health Unit,Pertussis,7,2020-2021,83
Windsor-Essex County Health Unit,Pneumo,7,2020-2021,82.6
Windsor-Essex County Health Unit,Polio,17,2020-2021,82.2
Windsor-Essex County Health Unit,Polio,7,2020-2021,83.7
Windsor-Essex County Health Unit,Rota,7,2020-2021,72.7
Windsor-Essex County Health Unit,Rubella,17,2020-2021,91.8
Windsor-Essex County Health Unit,Rubella,7,2020-2021,96.3
Windsor-Essex County Health Unit,Tetanus,17,2020-2021,18.5
Windsor-Essex County Health Unit,Tetanus,7,2020-2021,83.1
Windsor-Essex County Health Unit,Varicella,7,2020-2021,79.8
Windsor-Essex County Health Unit,Diphtheria,17,2021-2022,32.4
Windsor-Essex County Health Unit,Diphtheria,7,2021-2022,85.1
Windsor-Essex County Health Unit,HPV,12,2021-2022,50.5
Windsor-Essex County Health Unit,HPV,17,2021-2022,61.8
Windsor-Essex County Health Unit,HepB,12,2021-2022,59.5
Windsor-Essex County Health Unit,HepB,17,2021-2022,73.5
Windsor-Essex County Health Unit,Hib,7,2021-2022,84.8
Windsor-Essex County Health Unit,MCC,7,2021-2022,95
Windsor-Essex County Health Unit,MCV4,12,2021-2022,91.4
Windsor-Essex County Health Unit,MCV4,17,2021-2022,85.8
Windsor-Essex County Health Unit,Measles,17,2021-2022,86.1
Windsor-Essex County Health Unit,Measles,7,2021-2022,86.1
Windsor-Essex County Health Unit,Mumps,17,2021-2022,85.7
Windsor-Essex County Health Unit,Mumps,7,2021-2022,86
Windsor-Essex County Health Unit,Pertussis,17,2021-2022,32.3
Windsor-Essex County Health Unit,Pertussis,7,2021-2022,85.1
Windsor-Essex County Health Unit,Pneumo,7,2021-2022,82.8
Windsor-Essex County Health Unit,Polio,17,2021-2022,79.7
Windsor-Essex County Health Unit,Polio,7,2021-2022,86.2
Windsor-Essex County Health Unit,Rota,7,2021-2022,73.4
Windsor-Essex County Health Unit,Rubella,17,2021-2022,92.1
Windsor-Essex County Health Unit,Rubella,7,2021-2022,96
Windsor-Essex County Health Unit,Tetanus,17,2021-2022,32.4
Windsor-Essex County Health Unit,Tetanus,7,2021-2022,85.1
Windsor-Essex County Health Unit,Varicella,7,2021-2022,83.4
Windsor-Essex County Health Unit,Diphtheria,17,2022-2023,75.3
Windsor-Essex County Health Unit,Diphtheria,7,2022-2023,90.4
Windsor-Essex County Health Unit,HPV,12,2022-2023,60
Windsor-Essex County Health Unit,HPV,17,2022-2023,67
Windsor-Essex County Health Unit,HepB,12,2022-2023,70.9
Windsor-Essex County Health Unit,HepB,17,2022-2023,75.3
Windsor-Essex County Health Unit,Hib,7,2022-2023,86.5
Windsor-Essex County Health Unit,MCC,7,2022-2023,95.5
Windsor-Essex County Health Unit,MCV4,12,2022-2023,93.3
Windsor-Essex County Health Unit,MCV4,17,2022-2023,92.5
Windsor-Essex County Health Unit,Measles,17,2022-2023,92
Windsor-Essex County Health Unit,Measles,7,2022-2023,91.6
Windsor-Essex County Health Unit,Mumps,17,2022-2023,91.9
Windsor-Essex County Health Unit,Mumps,7,2022-2023,91.5
Windsor-Essex County Health Unit,Pertussis,17,2022-2023,75.2
Windsor-Essex County Health Unit,Pertussis,7,2022-2023,90.4
Windsor-Essex County Health Unit,Pneumo,7,2022-2023,82.5
Windsor-Essex County Health Unit,Polio,17,2022-2023,89
Windsor-Essex County Health Unit,Polio,7,2022-2023,90.4
Windsor-Essex County Health Unit,Rota,7,2022-2023,76.9
Windsor-Essex County Health Unit,Rubella,17,2022-2023,95.1
Windsor-Essex County Health Unit,Rubella,7,2022-2023,96.2
Windsor-Essex County Health Unit,Tetanus,17,2022-2023,75.3
Windsor-Essex County Health Unit,Tetanus,7,2022-2023,90.4
Windsor-Essex County Health Unit,Varicella,7,2022-2023,89.9
Windsor-Essex County Health Unit,Diphtheria,17,2023-2024,76.4
Windsor-Essex County Health Unit,Diphtheria,7,2023-2024,88.5
Windsor-Essex County Health Unit,HPV,12,2023-2024,56.9
Windsor-Essex County Health Unit,HPV,17,2023-2024,68.6
Windsor-Essex County Health Unit,HepB,12,2023-2024,66.8
Windsor-Essex County Health Unit,HepB,17,2023-2024,77.3
Windsor-Essex County Health Unit,Hib,7,2023-2024,81.6
Windsor-Essex County Health Unit,MCC,7,2023-2024,94.3
Windsor-Essex County Health Unit,MCV4,12,2023-2024,91.6
Windsor-Essex County Health Unit,MCV4,17,2023-2024,93
Windsor-Essex County Health Unit,Measles,17,2023-2024,93.7
Windsor-Essex County Health Unit,Measles,7,2023-2024,90
Windsor-Essex County Health Unit,Mumps,17,2023-2024,93.5
Windsor-Essex County Health Unit,Mumps,7,2023-2024,89.8
Windsor-Essex County Health Unit,Pertussis,17,2023-2024,76.3
Windsor-Essex County Health Unit,Pertussis,7,2023-2024,88.5
Windsor-Essex County Health Unit,Pneumo,7,2023-2024,81.3
Windsor-Essex County Health Unit,Polio,17,2023-2024,90.9
Windsor-Essex County Health Unit,Polio,7,2023-2024,87
Windsor-Essex County Health Unit,Rota,7,2023-2024,76.9
Windsor-Essex County Health Unit,Rubella,17,2023-2024,95.5
Windsor-Essex County Health Unit,Rubella,7,2023-2024,95.2
Windsor-Essex County Health Unit,Tetanus,17,2023-2024,76.4
Windsor-Essex County Health Unit,Tetanus,7,2023-2024,88.5
Windsor-Essex County Health Unit,Varicella,7,2023-2024,88.7
Windsor-Essex County Health Unit,Diphtheria,17,2024-2025,84.3
Windsor-Essex County Health Unit,Diphtheria,7,2024-2025,89.2
Windsor-Essex County Health Unit,HPV,12,2024-2025,55
Windsor-Essex County Health Unit,HPV,17,2024-2025,63.7
Windsor-Essex County Health Unit,HepB,12,2024-2025,65.5
Windsor-Essex County Health Unit,HepB,17,2024-2025,72
Windsor-Essex County Health Unit,Hib,7,2024-2025,82.3
Windsor-Essex County Health Unit,MCC,7,2024-2025,95.1
Windsor-Essex County Health Unit,MCV4,12,2024-2025,84.5
Windsor-Essex County Health Unit,MCV4,17,2024-2025,93.4
Windsor-Essex County Health Unit,Measles,17,2024-2025,94.4
Windsor-Essex County Health Unit,Measles,7,2024-2025,90.3
Windsor-Essex County Health Unit,Mumps,17,2024-2025,94.3
Windsor-Essex County Health Unit,Mumps,7,2024-2025,90
Windsor-Essex County Health Unit,Pertussis,17,2024-2025,84.4
Windsor-Essex County Health Unit,Pertussis,7,2024-2025,89.2
Windsor-Essex County Health Unit,Pneumo,7,2024-2025,81.9
Windsor-Essex County Health Unit,Polio,17,2024-2025,91.5
Windsor-Essex County Health Unit,Polio,7,2024-2025,88
Windsor-Essex County Health Unit,Rota,7,2024-2025,75.4
Windsor-Essex County Health Unit,Rubella,17,2024-2025,96.5
Windsor-Essex County Health Unit,Rubella,7,2024-2025,95.8
Windsor-Essex County Health Unit,Tetanus,17,2024-2025,84.3
Windsor-Essex County Health Unit,Tetanus,7,2024-2025,89.2
Windsor-Essex County Health Unit,Varicella,7,2024-2025,88.7
York Region Public Health,Diphtheria,17,2015-2016,79.2
York Region Public Health,Diphtheria,7,2015-2016,63.7
York Region Public Health,HepB,12,2015-2016,63.6
York Region Public Health,Hib,7,2015-2016,74.9
York Region Public Health,MCC,7,2015-2016,80.7
York Region Public Health,MCV4,12,2015-2016,73.4
York Region Public Health,Measles,17,2015-2016,94.3
York Region Public Health,Measles,7,2015-2016,80.3
York Region Public Health,Mumps,17,2015-2016,93
York Region Public Health,Mumps,7,2015-2016,80
York Region Public Health,Pertussis,17,2015-2016,78.6
York Region Public Health,Pertussis,7,2015-2016,63.3
York Region Public Health,Pneumo,7,2015-2016,74.4
York Region Public Health,Polio,17,2015-2016,92.8
York Region Public Health,Polio,7,2015-2016,63.7
York Region Public Health,Rubella,17,2015-2016,96
York Region Public Health,Rubella,7,2015-2016,87.5
York Region Public Health,Tetanus,17,2015-2016,79.2
York Region Public Health,Tetanus,7,2015-2016,63.6
York Region Public Health,Varicella,7,2015-2016,36.9
York Region Public Health,Diphtheria,17,2016-2017,48.8
York Region Public Health,Diphtheria,7,2016-2017,84.8
York Region Public Health,HPV,12,2016-2017,46.5
York Region Public Health,HepB,12,2016-2017,62
York Region Public Health,Hib,7,2016-2017,81.2
York Region Public Health,MCC,7,2016-2017,92.1
York Region Public Health,MCV4,12,2016-2017,73.2
York Region Public Health,Measles,17,2016-2017,90.8
York Region Public Health,Measles,7,2016-2017,90.7
York Region Public Health,Mumps,17,2016-2017,89.4
York Region Public Health,Mumps,7,2016-2017,90.5
York Region Public Health,Pertussis,17,2016-2017,48.3
York Region Public Health,Pertussis,7,2016-2017,84.7
York Region Public Health,Pneumo,7,2016-2017,79.5
York Region Public Health,Polio,17,2016-2017,89.6
York Region Public Health,Polio,7,2016-2017,84.9
York Region Public Health,Rubella,17,2016-2017,92.8
York Region Public Health,Rubella,7,2016-2017,94.1
York Region Public Health,Tetanus,17,2016-2017,48.8
York Region Public Health,Tetanus,7,2016-2017,84.8
York Region Public Health,Varicella,7,2016-2017,48.1
York Region Public Health,Diphtheria,17,2017-2018,75.5
York Region Public Health,Diphtheria,7,2017-2018,91.6
York Region Public Health,HPV,12,2017-2018,56.7
York Region Public Health,HepB,12,2017-2018,67.9
York Region Public Health,Hib,7,2017-2018,81.2
York Region Public Health,MCC,7,2017-2018,94.8
York Region Public Health,MCV4,12,2017-2018,76.8
York Region Public Health,Measles,17,2017-2018,92
York Region Public Health,Measles,7,2017-2018,92.1
York Region Public Health,Mumps,17,2017-2018,91.2
York Region Public Health,Mumps,7,2017-2018,92
York Region Public Health,Pertussis,17,2017-2018,75.5
York Region Public Health,Pertussis,7,2017-2018,91.5
York Region Public Health,Pneumo,7,2017-2018,74.5
York Region Public Health,Polio,17,2017-2018,90.9
York Region Public Health,Polio,7,2017-2018,91.9
York Region Public Health,Rubella,17,2017-2018,93.7
York Region Public Health,Rubella,7,2017-2018,95.9
York Region Public Health,Tetanus,17,2017-2018,75.5
York Region Public Health,Tetanus,7,2017-2018,91.6
York Region Public Health,Varicella,7,2017-2018,88.8
York Region Public Health,Diphtheria,17,2018-2019,79.1
York Region Public Health,Diphtheria,7,2018-2019,85
York Region Public Health,HPV,12,2018-2019,55
York Region Public Health,HPV,17,2018-2019,61.5
York Region Public Health,HepB,12,2018-2019,65.9
York Region Public Health,HepB,17,2018-2019,74.2
York Region Public Health,Hib,7,2018-2019,78.2
York Region Public Health,MCC,7,2018-2019,90.7
York Region Public Health,MCV4,12,2018-2019,74.8
York Region Public Health,MCV4,17,2018-2019,90.6
York Region Public Health,Measles,17,2018-2019,93.1
York Region Public Health,Measles,7,2018-2019,85.5
York Region Public Health,Mumps,17,2018-2019,92.6
York Region Public Health,Mumps,7,2018-2019,85.4
York Region Public Health,Pertussis,17,2018-2019,79.2
York Region Public Health,Pertussis,7,2018-2019,84.9
York Region Public Health,Pneumo,7,2018-2019,73.6
York Region Public Health,Polio,17,2018-2019,91.6
York Region Public Health,Polio,7,2018-2019,85.3
York Region Public Health,Rubella,17,2018-2019,95.2
York Region Public Health,Rubella,7,2018-2019,92.4
York Region Public Health,Tetanus,17,2018-2019,79.1
York Region Public Health,Tetanus,7,2018-2019,85
York Region Public Health,Varicella,7,2018-2019,82.3
York Region Public Health,Diphtheria,17,2019-2020,80.6
York Region Public Health,Diphtheria,7,2019-2020,80.7
York Region Public Health,HPV,12,2019-2020,57.3
York Region Public Health,HPV,17,2019-2020,59.7
York Region Public Health,HepB,12,2019-2020,64.6
York Region Public Health,HepB,17,2019-2020,72.8
York Region Public Health,Hib,7,2019-2020,75.2
York Region Public Health,MCC,7,2019-2020,87.3
York Region Public Health,MCV4,12,2019-2020,72.5
York Region Public Health,MCV4,17,2019-2020,89.4
York Region Public Health,Measles,17,2019-2020,92.3
York Region Public Health,Measles,7,2019-2020,81.3
York Region Public Health,Mumps,17,2019-2020,91.6
York Region Public Health,Mumps,7,2019-2020,81.3
York Region Public Health,Pertussis,17,2019-2020,80.5
York Region Public Health,Pertussis,7,2019-2020,80.4
York Region Public Health,Pneumo,7,2019-2020,73.7
York Region Public Health,Polio,17,2019-2020,90.7
York Region Public Health,Polio,7,2019-2020,80.9
York Region Public Health,Rota,7,2019-2020,66.6
York Region Public Health,Rubella,17,2019-2020,94.7
York Region Public Health,Rubella,7,2019-2020,91
York Region Public Health,Tetanus,17,2019-2020,80.5
York Region Public Health,Tetanus,7,2019-2020,80.6
York Region Public Health,Varicella,7,2019-2020,78
York Region Public Health,Diphtheria,17,2020-2021,75.8
York Region Public Health,Diphtheria,7,2020-2021,45.7
York Region Public Health,HPV,12,2020-2021,49.5
York Region Public Health,HPV,17,2020-2021,57.8
York Region Public Health,HepB,12,2020-2021,61.2
York Region Public Health,HepB,17,2020-2021,69.9
York Region Public Health,Hib,7,2020-2021,60.3
York Region Public Health,MCC,7,2020-2021,67.7
York Region Public Health,MCV4,12,2020-2021,73.7
York Region Public Health,MCV4,17,2020-2021,89.4
York Region Public Health,Measles,17,2020-2021,93.2
York Region Public Health,Measles,7,2020-2021,47.6
York Region Public Health,Mumps,17,2020-2021,92.7
York Region Public Health,Mumps,7,2020-2021,47.5
York Region Public Health,Pertussis,17,2020-2021,76.2
York Region Public Health,Pertussis,7,2020-2021,45.5
York Region Public Health,Pneumo,7,2020-2021,61.2
York Region Public Health,Polio,17,2020-2021,91.4
York Region Public Health,Polio,7,2020-2021,45.9
York Region Public Health,Rota,7,2020-2021,58.5
York Region Public Health,Rubella,17,2020-2021,95.6
York Region Public Health,Rubella,7,2020-2021,74.3
York Region Public Health,Tetanus,17,2020-2021,75.8
York Region Public Health,Tetanus,7,2020-2021,45.7
York Region Public Health,Varicella,7,2020-2021,44.5
York Region Public Health,Diphtheria,17,2021-2022,16.2
York Region Public Health,Diphtheria,7,2021-2022,35.7
York Region Public Health,HPV,12,2021-2022,55.7
York Region Public Health,HPV,17,2021-2022,55.3
York Region Public Health,HepB,12,2021-2022,66.6
York Region Public Health,HepB,17,2021-2022,66.8
York Region Public Health,Hib,7,2021-2022,43.4
York Region Public Health,MCC,7,2021-2022,47.4
York Region Public Health,MCV4,12,2021-2022,79.5
York Region Public Health,MCV4,17,2021-2022,78.2
York Region Public Health,Measles,17,2021-2022,87.2
York Region Public Health,Measles,7,2021-2022,36.5
York Region Public Health,Mumps,17,2021-2022,86.2
York Region Public Health,Mumps,7,2021-2022,36.4
York Region Public Health,Pertussis,17,2021-2022,16.9
York Region Public Health,Pertussis,7,2021-2022,35.6
York Region Public Health,Pneumo,7,2021-2022,43.5
York Region Public Health,Polio,17,2021-2022,84.7
York Region Public Health,Polio,7,2021-2022,35.8
York Region Public Health,Rota,7,2021-2022,41.7
York Region Public Health,Rubella,17,2021-2022,89.9
York Region Public Health,Rubella,7,2021-2022,53.3
York Region Public Health,Tetanus,17,2021-2022,16.2
York Region Public Health,Tetanus,7,2021-2022,35.7
York Region Public Health,Varicella,7,2021-2022,34.6
York Region Public Health,Diphtheria,17,2022-2023,32.6
York Region Public Health,Diphtheria,7,2022-2023,75
York Region Public Health,HPV,12,2022-2023,66.3
York Region Public Health,HPV,17,2022-2023,65.1
York Region Public Health,HepB,12,2022-2023,75.2
York Region Public Health,HepB,17,2022-2023,71.4
York Region Public Health,Hib,7,2022-2023,76
York Region Public Health,MCC,7,2022-2023,82
York Region Public Health,MCV4,12,2022-2023,82.2
York Region Public Health,MCV4,17,2022-2023,82.7
York Region Public Health,Measles,17,2022-2023,85.3
York Region Public Health,Measles,7,2022-2023,75.7
York Region Public Health,Mumps,17,2022-2023,84.5
York Region Public Health,Mumps,7,2022-2023,75.5
York Region Public Health,Pertussis,17,2022-2023,33.3
York Region Public Health,Pertussis,7,2022-2023,74.6
York Region Public Health,Pneumo,7,2022-2023,75.7
York Region Public Health,Polio,17,2022-2023,82.2
York Region Public Health,Polio,7,2022-2023,74.5
York Region Public Health,Rota,7,2022-2023,72.5
York Region Public Health,Rubella,17,2022-2023,88.2
York Region Public Health,Rubella,7,2022-2023,87.5
York Region Public Health,Tetanus,17,2022-2023,32.7
York Region Public Health,Tetanus,7,2022-2023,75
York Region Public Health,Varicella,7,2022-2023,73.2
York Region Public Health,Diphtheria,17,2023-2024,46.8
York Region Public Health,Diphtheria,7,2023-2024,82.7
York Region Public Health,HPV,12,2023-2024,57.8
York Region Public Health,HPV,17,2023-2024,65.9
York Region Public Health,HepB,12,2023-2024,67.3
York Region Public Health,HepB,17,2023-2024,71.8
York Region Public Health,Hib,7,2023-2024,76.7
York Region Public Health,MCC,7,2023-2024,86.8
York Region Public Health,MCV4,12,2023-2024,77.8
York Region Public Health,MCV4,17,2023-2024,83.2
York Region Public Health,Measles,17,2023-2024,86.2
York Region Public Health,Measles,7,2023-2024,82.6
York Region Public Health,Mumps,17,2023-2024,85.7
York Region Public Health,Mumps,7,2023-2024,82.5
York Region Public Health,Pertussis,17,2023-2024,47.5
York Region Public Health,Pertussis,7,2023-2024,82.6
York Region Public Health,Pneumo,7,2023-2024,76.3
York Region Public Health,Polio,17,2023-2024,83.1
York Region Public Health,Polio,7,2023-2024,81
York Region Public Health,Rota,7,2023-2024,73.5
York Region Public Health,Rubella,17,2023-2024,88.6
York Region Public Health,Rubella,7,2023-2024,89.5
York Region Public Health,Tetanus,17,2023-2024,46.8
York Region Public Health,Tetanus,7,2023-2024,82.7
York Region Public Health,Varicella,7,2023-2024,81
York Region Public Health,Diphtheria,17,2024-2025,78
York Region Public Health,Diphtheria,7,2024-2025,87.3
York Region Public Health,HPV,12,2024-2025,56.3
York Region Public Health,HPV,17,2024-2025,58.4
York Region Public Health,HepB,12,2024-2025,67
York Region Public Health,HepB,17,2024-2025,67.5
York Region Public Health,Hib,7,2024-2025,77.9
York Region Public Health,MCC,7,2024-2025,90.4
York Region Public Health,MCV4,12,2024-2025,77.1
York Region Public Health,MCV4,17,2024-2025,85.4
York Region Public Health,Measles,17,2024-2025,90.7
York Region Public Health,Measles,7,2024-2025,87.5
York Region Public Health,Mumps,17,2024-2025,90.3
York Region Public Health,Mumps,7,2024-2025,87.2
York Region Public Health,Pertussis,17,2024-2025,78.4
York Region Public Health,Pertussis,7,2024-2025,87.1
York Region Public Health,Pneumo,7,2024-2025,76.9
York Region Public Health,Polio,17,2024-2025,88.5
York Region Public Health,Polio,7,2024-2025,85.8
York Region Public Health,Rota,7,2024-2025,75
York Region Public Health,Rubella,17,2024-2025,93.4
York Region Public Health,Rubella,7,2024-2025,92
York Region Public Health,Tetanus,17,2024-2025,77.9
York Region Public Health,Tetanus,7,2024-2025,87.3
York Region Public Health,Varicella,7,2024-2025,85.6
Ontario,Diphtheria,17,2015-2016,76.2
Ontario,Diphtheria,7,2015-2016,84.3
Ontario,HepB,12,2015-2016,69.9
Ontario,Hib,7,2015-2016,81.3
Ontario,MCC,7,2015-2016,92.1
Ontario,MCV4,12,2015-2016,80.6
Ontario,Measles,17,2015-2016,94.6
Ontario,Measles,7,2015-2016,91.8
Ontario,Mumps,17,2015-2016,94
Ontario,Mumps,7,2015-2016,91.6
Ontario,Pertussis,17,2015-2016,74.2
Ontario,Pertussis,7,2015-2016,84.1
Ontario,Pneumo,7,2015-2016,79
Ontario,Polio,17,2015-2016,92.9
Ontario,Polio,7,2015-2016,84.5
Ontario,Rubella,17,2015-2016,96.9
Ontario,Rubella,7,2015-2016,95.9
Ontario,Tetanus,17,2015-2016,76.2
Ontario,Tetanus,7,2015-2016,84.3
Ontario,Varicella,7,2015-2016,46.4
Ontario,Diphtheria,17,2016-2017,73.1
Ontario,Diphtheria,7,2016-2017,84.7
Ontario,HPV,12,2016-2017,56.3
Ontario,HepB,12,2016-2017,68.6
Ontario,Hib,7,2016-2017,82.2
Ontario,MCC,7,2016-2017,94.2
Ontario,MCV4,12,2016-2017,79.6
Ontario,Measles,17,2016-2017,94
Ontario,Measles,7,2016-2017,91.2
Ontario,Mumps,17,2016-2017,93.5
Ontario,Mumps,7,2016-2017,91.1
Ontario,Pertussis,17,2016-2017,72.2
Ontario,Pertussis,7,2016-2017,84.6
Ontario,Pneumo,7,2016-2017,79.7
Ontario,Polio,17,2016-2017,92.5
Ontario,Polio,7,2016-2017,85
Ontario,Rubella,17,2016-2017,95.8
Ontario,Rubella,7,2016-2017,96.2
Ontario,Tetanus,17,2016-2017,73.1
Ontario,Tetanus,7,2016-2017,84.7
Ontario,Varicella,7,2016-2017,52.3
Ontario,Diphtheria,17,2017-2018,81.5
Ontario,Diphtheria,7,2017-2018,85.9
Ontario,HPV,12,2017-2018,59.9
Ontario,HepB,12,2017-2018,69.2
Ontario,Hib,7,2017-2018,82.4
Ontario,MCC,7,2017-2018,94.7
Ontario,MCV4,12,2017-2018,82.4
Ontario,Measles,17,2017-2018,95.3
Ontario,Measles,7,2017-2018,87.6
Ontario,Mumps,17,2017-2018,95
Ontario,Mumps,7,2017-2018,87.4
Ontario,Pertussis,17,2017-2018,81.2
Ontario,Pertussis,7,2017-2018,85.8
Ontario,Pneumo,7,2017-2018,74.1
Ontario,Polio,17,2017-2018,93.5
Ontario,Polio,7,2017-2018,86.3
Ontario,Rubella,17,2017-2018,97.1
Ontario,Rubella,7,2017-2018,96.4
Ontario,Tetanus,17,2017-2018,81.5
Ontario,Tetanus,7,2017-2018,85.9
Ontario,Varicella,7,2017-2018,82.6
Ontario,Diphtheria,17,2018-2019,82.3
Ontario,Diphtheria,7,2018-2019,85.8
Ontario,HPV,12,2018-2019,57.9
Ontario,HPV,17,2018-2019,61.6
Ontario,HepB,12,2018-2019,67.3
Ontario,HepB,17,2018-2019,76.6
Ontario,Hib,7,2018-2019,82.9
Ontario,MCC,7,2018-2019,94.5
Ontario,MCV4,12,2018-2019,80.1
Ontario,MCV4,17,2018-2019,93.9
Ontario,Measles,17,2018-2019,95.5
Ontario,Measles,7,2018-2019,86.6
Ontario,Mumps,17,2018-2019,95.2
Ontario,Mumps,7,2018-2019,86.5
Ontario,Pertussis,17,2018-2019,82.6
Ontario,Pertussis,7,2018-2019,85.7
Ontario,Pneumo,7,2018-2019,76.6
Ontario,Polio,17,2018-2019,93.5
Ontario,Polio,7,2018-2019,86.2
Ontario,Rubella,17,2018-2019,97.1
Ontario,Rubella,7,2018-2019,96.1
Ontario,Tetanus,17,2018-2019,82.3
Ontario,Tetanus,7,2018-2019,85.8
Ontario,Varicella,7,2018-2019,83.4
Ontario,Diphtheria,17,2019-2020,81.4
Ontario,Diphtheria,7,2019-2020,85.9
Ontario,HPV,12,2019-2020,51.8
Ontario,HPV,17,2019-2020,63.8
Ontario,HepB,12,2019-2020,60.8
Ontario,HepB,17,2019-2020,77.4
Ontario,Hib,7,2019-2020,83.8
Ontario,MCC,7,2019-2020,94.7
Ontario,MCV4,12,2019-2020,88.4
Ontario,MCV4,17,2019-2020,94
Ontario,Measles,17,2019-2020,95.3
Ontario,Measles,7,2019-2020,86.1
Ontario,Mumps,17,2019-2020,95.1
Ontario,Mumps,7,2019-2020,86
Ontario,Pertussis,17,2019-2020,82.3
Ontario,Pertussis,7,2019-2020,85.8
Ontario,Pneumo,7,2019-2020,79.3
Ontario,Polio,17,2019-2020,93.4
Ontario,Polio,7,2019-2020,86.3
Ontario,Rota,7,2019-2020,68.9
Ontario,Rubella,17,2019-2020,97.1
Ontario,Rubella,7,2019-2020,96.4
Ontario,Tetanus,17,2019-2020,81.4
Ontario,Tetanus,7,2019-2020,85.9
Ontario,Varicella,7,2019-2020,83.5
Ontario,Diphtheria,17,2020-2021,72.6
Ontario,Diphtheria,7,2020-2021,67.3
Ontario,HPV,12,2020-2021,45.6
Ontario,HPV,17,2020-2021,64
Ontario,HepB,12,2020-2021,56.2
Ontario,HepB,17,2020-2021,77.9
Ontario,Hib,7,2020-2021,82.8
Ontario,MCC,7,2020-2021,91.4
Ontario,MCV4,12,2020-2021,78.5
Ontario,MCV4,17,2020-2021,93.9
Ontario,Measles,17,2020-2021,95.4
Ontario,Measles,7,2020-2021,67.4
Ontario,Mumps,17,2020-2021,95.2
Ontario,Mumps,7,2020-2021,67.2
Ontario,Pertussis,17,2020-2021,73.4
Ontario,Pertussis,7,2020-2021,67.2
Ontario,Pneumo,7,2020-2021,79.6
